epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5926,0.79371,0.61175,1.08525,0.87421,0.90191,0.93914,0.67915,1.03489,0.60201,1.20776,0.00332389,0.00332389,0.00332389
2,50.117,0.78163,0.55916,1.06974,0.87657,0.91057,0.94304,0.68834,1.02144,0.60527,1.18458,0.00665719,0.00665719,0.00665719
3,73.5322,0.80386,0.58012,1.08046,0.84384,0.92206,0.9408,0.68796,1.0225,0.60841,1.20567,0.00999046,0.00999046,0.00999046
4,96.9439,0.80851,0.63932,1.084,0.88403,0.89342,0.94366,0.68522,1.03906,0.61396,1.2081,0.00999985,0.00999985,0.00999985
5,120.267,0.82392,0.61196,1.08948,0.89413,0.87235,0.93165,0.68473,1.00564,0.6099,1.17388,0.0099998,0.0099998,0.0099998
6,143.478,0.82943,0.6276,1.08819,0.88413,0.88303,0.91429,0.6336,1.07932,0.66755,1.21188,0.00999975,0.00999975,0.00999975
7,166.857,0.86115,0.63629,1.10589,0.87308,0.90748,0.92069,0.65718,1.04787,0.6583,1.18955,0.0099997,0.0099997,0.0099997
8,190.779,0.84854,0.63404,1.10844,0.89869,0.86404,0.92651,0.65502,1.07325,0.65379,1.19845,0.00999965,0.00999965,0.00999965
9,214.053,0.84772,0.66947,1.11048,0.8677,0.90163,0.92883,0.66032,1.08471,0.6335,1.2066,0.0099996,0.0099996,0.0099996
10,237.171,0.83078,0.6576,1.09305,0.89486,0.89807,0.91147,0.64356,1.0653,0.62849,1.22398,0.00999955,0.00999955,0.00999955
11,260.766,0.85333,0.64175,1.11321,0.887,0.90034,0.93146,0.66697,1.06794,0.63697,1.21689,0.00999951,0.00999951,0.00999951
12,284.139,0.84695,0.65851,1.11391,0.86749,0.89055,0.92632,0.663,1.08397,0.65367,1.22972,0.00999946,0.00999946,0.00999946
13,307.263,0.85455,0.64123,1.10071,0.90218,0.88561,0.94035,0.65783,1.08487,0.63392,1.21096,0.00999941,0.00999941,0.00999941
14,330.435,0.84624,0.63432,1.08265,0.87719,0.88606,0.92536,0.65556,1.06517,0.63845,1.20184,0.00999936,0.00999936,0.00999936
15,354.038,0.83564,0.65661,1.10026,0.88404,0.86785,0.93385,0.66026,1.07944,0.66145,1.20325,0.00999931,0.00999931,0.00999931
16,377.28,0.83764,0.63435,1.0988,0.89271,0.89724,0.93545,0.65627,1.06391,0.63692,1.19218,0.00999926,0.00999926,0.00999926
17,400.658,0.8534,0.65072,1.11308,0.86995,0.89942,0.93262,0.66536,1.06077,0.66173,1.18211,0.00999921,0.00999921,0.00999921
18,424.211,0.83702,0.64073,1.11152,0.86203,0.91322,0.93321,0.67173,1.05397,0.62808,1.20068,0.00999916,0.00999916,0.00999916
19,447.483,0.83628,0.61957,1.10119,0.8705,0.91825,0.93098,0.66579,1.03208,0.62866,1.17493,0.00999911,0.00999911,0.00999911
20,470.798,0.8605,0.62512,1.11728,0.89118,0.88078,0.92992,0.6668,1.0462,0.62868,1.1753,0.00999906,0.00999906,0.00999906
21,494.456,0.83701,0.62497,1.09401,0.8708,0.88983,0.92811,0.6639,1.06943,0.64302,1.18705,0.00999901,0.00999901,0.00999901
22,517.851,0.84851,0.63759,1.11381,0.87169,0.90894,0.93715,0.67991,1.06143,0.61699,1.18708,0.00999896,0.00999896,0.00999896
23,541.083,0.83189,0.63776,1.09571,0.87073,0.89314,0.93126,0.66015,1.08094,0.65269,1.21946,0.00999891,0.00999891,0.00999891
24,564.402,0.83062,0.62679,1.10308,0.88101,0.90665,0.93629,0.6686,1.0497,0.63216,1.19691,0.00999886,0.00999886,0.00999886
25,587.83,0.85386,0.67209,1.11114,0.88829,0.89904,0.92822,0.6409,1.08674,0.66446,1.22764,0.00999881,0.00999881,0.00999881
26,610.978,0.86585,0.62082,1.11592,0.86772,0.92846,0.9419,0.66912,1.07141,0.63333,1.19731,0.00999876,0.00999876,0.00999876
27,634.307,0.86244,0.64224,1.11201,0.90208,0.87812,0.93656,0.66982,1.06082,0.6045,1.18467,0.00999871,0.00999871,0.00999871
28,657.581,0.823,0.61826,1.09486,0.89937,0.9094,0.93915,0.67716,1.06567,0.60698,1.18318,0.00999866,0.00999866,0.00999866
29,680.998,0.84738,0.6517,1.10682,0.8971,0.88411,0.93193,0.66232,1.06941,0.63994,1.19401,0.00999861,0.00999861,0.00999861
30,704.143,0.83343,0.64889,1.09376,0.88944,0.90921,0.93309,0.67646,1.03713,0.61455,1.17958,0.00999856,0.00999856,0.00999856
31,727.538,0.82662,0.63628,1.10279,0.92126,0.87831,0.93344,0.68294,1.0308,0.61905,1.19448,0.00999851,0.00999851,0.00999851
32,750.695,0.84735,0.62247,1.10247,0.86808,0.92676,0.93716,0.66989,1.04682,0.63773,1.19601,0.00999847,0.00999847,0.00999847
33,774.136,0.87026,0.64145,1.11649,0.83548,0.90215,0.92983,0.65685,1.03177,0.64472,1.19133,0.00999842,0.00999842,0.00999842
34,797.48,0.85312,0.62599,1.09864,0.88823,0.89083,0.94032,0.66723,1.07681,0.63123,1.2154,0.00999837,0.00999837,0.00999837
35,820.85,0.82539,0.62059,1.09712,0.88867,0.91319,0.9392,0.67669,1.04859,0.64191,1.19064,0.00999832,0.00999832,0.00999832
36,844.1,0.83563,0.63577,1.09221,0.88232,0.90189,0.93541,0.68794,1.03364,0.61757,1.1664,0.00999827,0.00999827,0.00999827
37,867.26,0.85108,0.6303,1.10548,0.9232,0.86562,0.94491,0.68387,1.0521,0.63276,1.1733,0.00999822,0.00999822,0.00999822
38,890.51,0.85488,0.62679,1.11386,0.88002,0.85643,0.93226,0.67275,1.06153,0.70124,1.18944,0.00999817,0.00999817,0.00999817
39,913.858,0.84069,0.64047,1.10113,0.88161,0.89055,0.92366,0.67204,1.04537,0.65762,1.1755,0.00999812,0.00999812,0.00999812
40,936.995,0.84896,0.62376,1.09459,0.90253,0.87919,0.93471,0.68705,1.01598,0.62562,1.16756,0.00999807,0.00999807,0.00999807
41,960.075,0.83332,0.6245,1.08763,0.91464,0.86757,0.93788,0.68213,1.03871,0.62216,1.17423,0.00999802,0.00999802,0.00999802
42,983.514,0.82159,0.64976,1.09299,0.87436,0.90183,0.9345,0.67738,1.05542,0.61444,1.20021,0.00999797,0.00999797,0.00999797
43,1006.74,0.84866,0.65106,1.10856,0.8687,0.90608,0.93678,0.6765,1.04076,0.61246,1.18574,0.00999792,0.00999792,0.00999792
44,1029.76,0.84782,0.63113,1.09848,0.90558,0.86356,0.92075,0.67041,1.05265,0.63891,1.20899,0.00999787,0.00999787,0.00999787
45,1053,0.85789,0.63155,1.11289,0.86876,0.90194,0.90959,0.65246,1.05682,0.63766,1.19656,0.00999782,0.00999782,0.00999782
46,1076.56,0.8103,0.6018,1.07851,0.89716,0.89321,0.93177,0.66816,1.0441,0.61981,1.20478,0.00999777,0.00999777,0.00999777
47,1099.98,0.85572,0.65551,1.11348,0.87943,0.8813,0.92407,0.65705,1.06791,0.65446,1.19584,0.00999772,0.00999772,0.00999772
48,1123.14,0.86607,0.65387,1.11109,0.87032,0.91127,0.90778,0.64387,1.07702,0.63213,1.20339,0.00999767,0.00999767,0.00999767
49,1146.28,0.83739,0.61235,1.09817,0.88434,0.86549,0.92612,0.66929,1.06177,0.65273,1.1929,0.00999762,0.00999762,0.00999762
50,1169.43,0.83509,0.62369,1.10054,0.85117,0.88665,0.91116,0.64786,1.09645,0.67821,1.20816,0.00999757,0.00999757,0.00999757
51,1192.78,0.83523,0.62013,1.09612,0.88694,0.86671,0.92407,0.66552,1.06295,0.65865,1.22643,0.00999753,0.00999753,0.00999753
52,1216.17,0.82809,0.63825,1.10207,0.87231,0.87726,0.91989,0.65804,1.06563,0.67831,1.20941,0.00999748,0.00999748,0.00999748
53,1239.41,0.85749,0.66698,1.11436,0.92591,0.83616,0.92139,0.64937,1.07895,0.65213,1.20293,0.00999743,0.00999743,0.00999743
54,1262.64,0.86378,0.65363,1.11706,0.87118,0.87973,0.92718,0.6636,1.06059,0.68555,1.1936,0.00999738,0.00999738,0.00999738
55,1285.84,0.84458,0.62948,1.09668,0.88697,0.89663,0.9358,0.66932,1.07346,0.64946,1.18751,0.00999733,0.00999733,0.00999733
56,1308.93,0.84698,0.62659,1.11448,0.91954,0.86033,0.93059,0.66182,1.06758,0.65885,1.19602,0.00999728,0.00999728,0.00999728
57,1332.07,0.86452,0.63545,1.11348,0.90231,0.86562,0.9366,0.64813,1.12733,0.65771,1.22932,0.00999723,0.00999723,0.00999723
58,1355.41,0.83861,0.62558,1.10255,0.86555,0.89981,0.92912,0.66617,1.05928,0.64166,1.21602,0.00999718,0.00999718,0.00999718
59,1378.75,0.85237,0.63227,1.10917,0.88263,0.90177,0.93946,0.6699,1.06396,0.65543,1.19152,0.00999713,0.00999713,0.00999713
60,1402.15,0.83139,0.61357,1.08817,0.88909,0.87691,0.9299,0.67942,1.04722,0.65099,1.19391,0.00999708,0.00999708,0.00999708
61,1425.37,0.82584,0.64279,1.08399,0.87904,0.89497,0.92655,0.65956,1.06568,0.64516,1.22548,0.00999703,0.00999703,0.00999703
62,1448.6,0.82504,0.63739,1.09806,0.89187,0.86986,0.91363,0.63869,1.0904,0.64594,1.22709,0.00999698,0.00999698,0.00999698
63,1471.81,0.83916,0.61918,1.10754,0.83261,0.89896,0.9142,0.64639,1.09712,0.70407,1.19883,0.00999693,0.00999693,0.00999693
64,1494.93,0.81851,0.61726,1.091,0.87169,0.87922,0.93007,0.67674,1.04612,0.62642,1.18366,0.00999688,0.00999688,0.00999688
65,1518.38,0.82981,0.61468,1.10074,0.84642,0.90943,0.92765,0.65835,1.08733,0.68212,1.22361,0.00999683,0.00999683,0.00999683
66,1541.79,0.7981,0.60957,1.08639,0.85725,0.90642,0.92321,0.66464,1.0849,0.65706,1.22059,0.00999678,0.00999678,0.00999678
67,1564.97,0.82196,0.62283,1.08832,0.89019,0.85672,0.93141,0.67257,1.08917,0.66086,1.20584,0.00999673,0.00999673,0.00999673
68,1588.21,0.84602,0.65283,1.10612,0.85818,0.88729,0.94065,0.66171,1.08345,0.6372,1.2103,0.00999668,0.00999668,0.00999668
69,1611.59,0.83487,0.63919,1.09652,0.82276,0.89966,0.92896,0.66823,1.06951,0.66552,1.19641,0.00999663,0.00999663,0.00999663
70,1635.03,0.86271,0.63524,1.11841,0.85242,0.90938,0.92666,0.65463,1.07771,0.64469,1.19355,0.00999658,0.00999658,0.00999658
71,1658.24,0.80641,0.62886,1.09511,0.85318,0.91696,0.93807,0.67068,1.07753,0.65193,1.1972,0.00999654,0.00999654,0.00999654
72,1681.87,0.83256,0.64457,1.11173,0.89626,0.87621,0.936,0.67953,1.03917,0.63533,1.17961,0.00999649,0.00999649,0.00999649
73,1705.22,0.81249,0.61861,1.07578,0.89216,0.84943,0.92378,0.65412,1.10565,0.64787,1.21239,0.00999644,0.00999644,0.00999644
74,1728.63,0.80015,0.61046,1.07786,0.85014,0.89223,0.93447,0.67554,1.04689,0.6357,1.19086,0.00999639,0.00999639,0.00999639
75,1751.88,0.82794,0.63191,1.0959,0.87205,0.89665,0.93354,0.67089,1.05991,0.63536,1.19379,0.00999634,0.00999634,0.00999634
76,1774.97,0.84282,0.62083,1.10849,0.89008,0.89017,0.94658,0.66519,1.09068,0.62595,1.21061,0.00999629,0.00999629,0.00999629
77,1798.37,0.81246,0.62355,1.08447,0.8786,0.90935,0.93468,0.66282,1.06291,0.62908,1.18918,0.00999624,0.00999624,0.00999624
78,1821.63,0.87998,0.63993,1.10822,0.8876,0.87824,0.92511,0.6585,1.10066,0.65382,1.21826,0.00999619,0.00999619,0.00999619
79,1844.97,0.86568,0.64425,1.10904,0.86186,0.88974,0.92935,0.6631,1.07734,0.63851,1.2035,0.00999614,0.00999614,0.00999614
80,1868.38,0.82628,0.6041,1.08965,0.89168,0.89899,0.9341,0.67555,1.07163,0.63073,1.20028,0.00999609,0.00999609,0.00999609
81,1891.68,0.8429,0.62717,1.10404,0.89091,0.87975,0.92864,0.65651,1.06581,0.63022,1.19002,0.00999604,0.00999604,0.00999604
82,1914.94,0.82629,0.63498,1.09029,0.92823,0.85881,0.93526,0.66891,1.05094,0.63787,1.18562,0.00999599,0.00999599,0.00999599
83,1938.23,0.82117,0.62593,1.09261,0.90411,0.87393,0.92843,0.66697,1.07256,0.65819,1.19055,0.00999594,0.00999594,0.00999594
84,1961.61,0.84893,0.62461,1.09667,0.89115,0.86384,0.92564,0.66859,1.07711,0.65975,1.20225,0.00999589,0.00999589,0.00999589
85,1985.11,0.80284,0.60387,1.07574,0.88955,0.86039,0.92408,0.66549,1.05521,0.68128,1.20131,0.00999584,0.00999584,0.00999584
86,2008.58,0.83036,0.62526,1.09266,0.91174,0.86451,0.9273,0.66614,1.06588,0.67097,1.19637,0.00999579,0.00999579,0.00999579
87,2032.21,0.82183,0.60986,1.09219,0.86797,0.87548,0.93436,0.68885,1.01472,0.65947,1.1403,0.00999574,0.00999574,0.00999574
88,2055.72,0.84011,0.60935,1.09301,0.89054,0.87632,0.93172,0.67023,1.04676,0.6548,1.16225,0.00999569,0.00999569,0.00999569
89,2078.98,0.81102,0.60136,1.0832,0.89426,0.85276,0.93289,0.66769,1.08588,0.69334,1.19686,0.00999564,0.00999564,0.00999564
90,2102.43,0.79875,0.61519,1.08236,0.86996,0.89237,0.9284,0.66821,1.06351,0.66861,1.19066,0.00999559,0.00999559,0.00999559
91,2125.81,0.83104,0.65783,1.08837,0.85676,0.8727,0.89413,0.63025,1.07186,0.66396,1.19643,0.00999554,0.00999554,0.00999554
92,2149.17,0.82892,0.66567,1.0962,0.895,0.88191,0.93035,0.65861,1.06299,0.6469,1.18349,0.0099955,0.0099955,0.0099955
93,2172.41,0.8215,0.63936,1.07961,0.90343,0.86412,0.92712,0.66036,1.055,0.65772,1.18558,0.00999545,0.00999545,0.00999545
94,2195.97,0.83542,0.70496,1.1107,0.90149,0.85892,0.9165,0.64681,1.06133,0.62386,1.19069,0.0099954,0.0099954,0.0099954
95,2219.29,0.83565,0.63759,1.10143,0.90164,0.87167,0.92316,0.66481,1.05298,0.63954,1.20329,0.00999535,0.00999535,0.00999535
96,2242.62,0.84409,0.64203,1.10363,0.87887,0.91316,0.92658,0.65636,1.08588,0.63873,1.22261,0.0099953,0.0099953,0.0099953
97,2266.05,0.83609,0.63877,1.09878,0.87149,0.89254,0.92109,0.65933,1.03688,0.60607,1.1769,0.00999525,0.00999525,0.00999525
98,2289.68,0.85035,0.62912,1.09546,0.88065,0.86997,0.92688,0.66266,1.06453,0.63682,1.17138,0.0099952,0.0099952,0.0099952
99,2313.39,0.79193,0.60278,1.06852,0.87077,0.92032,0.94108,0.67035,1.08145,0.63099,1.18176,0.00999515,0.00999515,0.00999515
100,2336.61,0.81604,0.60842,1.08238,0.8505,0.90948,0.9262,0.68039,1.03716,0.64174,1.16498,0.0099951,0.0099951,0.0099951
101,2360.26,0.80886,0.61717,1.07964,0.87555,0.8896,0.93127,0.67541,1.0462,0.62948,1.17535,0.00999505,0.00999505,0.00999505
102,2383.63,0.84277,0.6152,1.09683,0.86347,0.87594,0.91551,0.64388,1.09578,0.68631,1.21971,0.009995,0.009995,0.009995
103,2406.74,0.81143,0.63419,1.09326,0.88305,0.85071,0.91259,0.65783,1.04028,0.67412,1.16764,0.00999495,0.00999495,0.00999495
104,2430.09,0.82385,0.64202,1.09096,0.88343,0.883,0.93197,0.66665,1.05552,0.63955,1.17929,0.0099949,0.0099949,0.0099949
105,2453.42,0.82946,0.65393,1.09285,0.86363,0.89046,0.92032,0.65223,1.06218,0.70725,1.18873,0.00999485,0.00999485,0.00999485
106,2476.75,0.82913,0.62747,1.08973,0.87685,0.89055,0.92218,0.66056,1.07397,0.66838,1.19855,0.0099948,0.0099948,0.0099948
107,2499.99,0.81294,0.60626,1.07747,0.8846,0.86891,0.92703,0.66763,1.05902,0.66471,1.19943,0.00999475,0.00999475,0.00999475
108,2523.69,0.83075,0.6171,1.09264,0.88835,0.88266,0.93033,0.665,1.07312,0.65009,1.18551,0.0099947,0.0099947,0.0099947
109,2546.9,0.84621,0.63589,1.10564,0.87818,0.90363,0.92836,0.65801,1.09697,0.66163,1.18527,0.00999465,0.00999465,0.00999465
110,2570.24,0.83913,0.62466,1.10082,0.87601,0.88671,0.92209,0.6551,1.07418,0.68582,1.18938,0.0099946,0.0099946,0.0099946
