epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1886,1.27225,1.00136,1.53853,0.82094,0.9045,0.90956,0.58812,1.2604,0.73336,1.40747,0.0033145,0.0033145,0.0033145
2,43.3701,1.12843,0.87366,1.42648,0.84808,0.86028,0.90996,0.57439,1.29401,0.73852,1.45581,0.00664454,0.00664454,0.00664454
3,65.1003,1.11717,0.84069,1.40472,0.81199,0.8527,0.88674,0.58282,1.20403,0.82841,1.40233,0.00997129,0.00997129,0.00997129
4,86.3185,1.14671,0.85399,1.42692,0.83718,0.80663,0.86301,0.55605,1.25434,0.8561,1.45566,0.00998515,0.00998515,0.00998515
5,107.77,1.14337,0.85717,1.42359,0.84405,0.85135,0.88088,0.54631,1.34309,0.79446,1.51511,0.0099802,0.0099802,0.0099802
6,128.328,1.14835,0.86334,1.4244,0.84381,0.87679,0.89853,0.59006,1.24005,0.74901,1.45309,0.00997525,0.00997525,0.00997525
7,149.933,1.13473,0.8743,1.42973,0.86892,0.86627,0.90942,0.55668,1.33654,0.71884,1.52757,0.0099703,0.0099703,0.0099703
8,170.714,1.13683,0.862,1.40592,0.82181,0.88668,0.90765,0.55202,1.35943,0.75477,1.52198,0.00996535,0.00996535,0.00996535
9,191.905,1.13721,0.85178,1.41123,0.8329,0.88295,0.90473,0.60008,1.24891,0.7191,1.43571,0.0099604,0.0099604,0.0099604
10,213.02,1.11271,0.84713,1.41794,0.81868,0.84329,0.8976,0.61011,1.17285,0.77108,1.38695,0.00995545,0.00995545,0.00995545
11,234.025,1.12565,0.84372,1.41645,0.80965,0.85279,0.89192,0.5809,1.26552,0.81412,1.4314,0.0099505,0.0099505,0.0099505
12,255.622,1.26642,0.94443,1.51641,0.82411,0.84815,0.88639,0.60562,1.14832,0.74761,1.36969,0.00994555,0.00994555,0.00994555
13,276.668,1.34859,1.04533,1.56794,0.84902,0.88371,0.90254,0.59692,1.2092,0.71149,1.3968,0.0099406,0.0099406,0.0099406
14,297.952,1.32396,1.00575,1.55122,0.85646,0.87913,0.91227,0.60726,1.19218,0.68569,1.39451,0.00993565,0.00993565,0.00993565
15,318.641,1.30546,0.99641,1.53129,0.86991,0.88247,0.91335,0.59544,1.26078,0.68158,1.4257,0.0099307,0.0099307,0.0099307
16,339.814,1.32071,1.02683,1.54224,0.85027,0.9057,0.91437,0.61407,1.18652,0.66142,1.3865,0.00992575,0.00992575,0.00992575
17,360.286,1.29235,0.97124,1.53121,0.89363,0.84159,0.91564,0.61056,1.19612,0.69106,1.39664,0.0099208,0.0099208,0.0099208
18,381.695,1.30918,0.99938,1.53059,0.84474,0.88668,0.92391,0.63519,1.14104,0.66697,1.35731,0.00991585,0.00991585,0.00991585
19,402.417,1.34237,1.0012,1.55941,0.86397,0.88866,0.92417,0.62648,1.15578,0.6734,1.37326,0.0099109,0.0099109,0.0099109
20,424.141,1.27227,0.97243,1.4974,0.87107,0.89017,0.93502,0.6423,1.15759,0.6525,1.37939,0.00990595,0.00990595,0.00990595
21,444.995,1.33491,1.00021,1.5321,0.84945,0.87153,0.93004,0.62698,1.21076,0.68631,1.40107,0.009901,0.009901,0.009901
22,466.32,1.28577,0.96728,1.52461,0.86603,0.85106,0.92554,0.60878,1.21358,0.70303,1.39976,0.00989605,0.00989605,0.00989605
23,487.933,1.32614,1.02047,1.54237,0.87753,0.87167,0.93868,0.63972,1.194,0.64312,1.38254,0.0098911,0.0098911,0.0098911
24,508.574,1.29697,0.96792,1.52055,0.85991,0.88272,0.93772,0.62699,1.22624,0.68142,1.39236,0.00988615,0.00988615,0.00988615
25,530.334,1.27813,1.00367,1.51811,0.84961,0.88733,0.93096,0.60873,1.24951,0.66998,1.40276,0.0098812,0.0098812,0.0098812
26,551.103,1.29666,0.99692,1.54554,0.85703,0.88295,0.93153,0.62938,1.19521,0.67473,1.38525,0.00987625,0.00987625,0.00987625
27,572.825,1.30061,1.00294,1.53282,0.84576,0.85938,0.93,0.62077,1.21451,0.6972,1.39833,0.0098713,0.0098713,0.0098713
28,594.466,1.35622,1.03789,1.56063,0.90309,0.82992,0.91669,0.62323,1.17153,0.71689,1.37073,0.00986635,0.00986635,0.00986635
29,615.956,1.28764,0.97029,1.52945,0.84228,0.9137,0.93758,0.62703,1.21681,0.67135,1.38616,0.0098614,0.0098614,0.0098614
30,637.083,1.28205,0.95689,1.52108,0.8404,0.89438,0.92612,0.57793,1.34231,0.7095,1.48025,0.00985645,0.00985645,0.00985645
31,657.976,1.27154,0.99474,1.49649,0.84314,0.88292,0.93197,0.62292,1.22538,0.69993,1.39114,0.0098515,0.0098515,0.0098515
32,679.349,1.30385,1.00082,1.53343,0.87359,0.88319,0.92881,0.59629,1.30361,0.68195,1.4343,0.00984655,0.00984655,0.00984655
33,699.883,1.29958,1.00754,1.52745,0.85533,0.89431,0.92685,0.63509,1.16653,0.65331,1.36597,0.0098416,0.0098416,0.0098416
34,721.548,1.32087,1.01237,1.54315,0.83653,0.90285,0.92247,0.61452,1.24443,0.6775,1.42452,0.00983665,0.00983665,0.00983665
35,742.7,1.24445,0.95141,1.49166,0.85145,0.89585,0.93298,0.60803,1.26201,0.67894,1.4247,0.0098317,0.0098317,0.0098317
36,763.903,1.26932,0.97828,1.49712,0.86047,0.90447,0.94056,0.61643,1.27546,0.66309,1.44365,0.00982675,0.00982675,0.00982675
37,784.874,1.28757,0.9956,1.52187,0.8679,0.8876,0.93097,0.63323,1.1533,0.64847,1.36292,0.0098218,0.0098218,0.0098218
38,805.967,1.23896,0.96627,1.48722,0.90152,0.85596,0.94204,0.63583,1.18425,0.64643,1.38183,0.00981685,0.00981685,0.00981685
39,826.844,1.24221,0.98287,1.48605,0.84631,0.87741,0.92911,0.64865,1.12719,0.68447,1.35091,0.0098119,0.0098119,0.0098119
40,847.592,1.25094,0.98339,1.4964,0.83528,0.89709,0.92642,0.63485,1.15315,0.68708,1.36778,0.00980695,0.00980695,0.00980695
41,869.144,1.26723,0.98738,1.50797,0.85332,0.88524,0.921,0.64869,1.06766,0.64606,1.33337,0.009802,0.009802,0.009802
42,889.874,1.25762,0.9524,1.50258,0.89852,0.85261,0.92259,0.63474,1.19128,0.70363,1.39261,0.00979705,0.00979705,0.00979705
43,911.785,1.27091,0.95032,1.50279,0.85365,0.90938,0.91867,0.62136,1.21342,0.69052,1.40441,0.0097921,0.0097921,0.0097921
44,932.801,1.24183,0.9697,1.48472,0.8691,0.85592,0.92301,0.59061,1.29749,0.71873,1.45435,0.00978715,0.00978715,0.00978715
45,954.25,1.25316,0.97054,1.47721,0.86487,0.91013,0.93225,0.64393,1.16065,0.65647,1.3799,0.0097822,0.0097822,0.0097822
46,975.482,1.26353,0.9703,1.50011,0.84043,0.90183,0.91966,0.62435,1.15981,0.69382,1.3626,0.00977725,0.00977725,0.00977725
47,996.687,1.26584,0.97506,1.51092,0.84969,0.87385,0.91591,0.6132,1.2051,0.69777,1.40607,0.0097723,0.0097723,0.0097723
48,1017.65,1.2371,0.96106,1.49096,0.88242,0.87213,0.93651,0.61798,1.21581,0.65756,1.40941,0.00976735,0.00976735,0.00976735
49,1038.81,1.25948,0.99027,1.48785,0.82282,0.91319,0.92651,0.6276,1.18367,0.6808,1.38277,0.0097624,0.0097624,0.0097624
50,1060.46,1.24052,0.94475,1.49198,0.86249,0.87008,0.9198,0.60957,1.20892,0.66794,1.40907,0.00975745,0.00975745,0.00975745
51,1081.01,1.26517,0.95043,1.5161,0.83998,0.89431,0.92263,0.61097,1.18558,0.68172,1.37837,0.0097525,0.0097525,0.0097525
52,1103.09,1.23536,0.92317,1.48228,0.83337,0.89065,0.91953,0.60096,1.28373,0.69034,1.43466,0.00974755,0.00974755,0.00974755
53,1123.91,1.25396,0.96965,1.497,0.82494,0.88748,0.92134,0.64122,1.15277,0.67779,1.36517,0.0097426,0.0097426,0.0097426
54,1145.43,1.25037,0.97622,1.48363,0.84467,0.91316,0.9313,0.65201,1.13844,0.64626,1.3578,0.00973765,0.00973765,0.00973765
55,1166.36,1.25391,0.97905,1.48697,0.85911,0.88292,0.92766,0.61686,1.251,0.68607,1.42558,0.0097327,0.0097327,0.0097327
56,1187.51,1.26501,0.97806,1.49621,0.88344,0.85286,0.92374,0.64095,1.13762,0.67374,1.35935,0.00972775,0.00972775,0.00972775
57,1208.78,1.23153,0.94294,1.46193,0.85517,0.91592,0.91617,0.6409,1.11912,0.63354,1.34594,0.0097228,0.0097228,0.0097228
58,1229.84,1.2513,0.98158,1.48358,0.86104,0.90948,0.91975,0.6047,1.26612,0.66361,1.4414,0.00971785,0.00971785,0.00971785
59,1251.15,1.22627,0.94442,1.47109,0.88451,0.86695,0.90662,0.62363,1.13529,0.6739,1.36136,0.0097129,0.0097129,0.0097129
60,1271.8,1.19723,0.89897,1.44972,0.84521,0.87454,0.91974,0.62385,1.15992,0.69816,1.36989,0.00970795,0.00970795,0.00970795
61,1293.55,1.24299,0.95583,1.48766,0.82782,0.92005,0.93107,0.62968,1.1864,0.65148,1.36227,0.009703,0.009703,0.009703
62,1313.88,1.23667,0.94373,1.47949,0.86985,0.89048,0.93357,0.64504,1.14292,0.63931,1.3513,0.00969805,0.00969805,0.00969805
63,1335.26,1.22359,0.94835,1.46405,0.84772,0.91314,0.93419,0.6599,1.11322,0.62096,1.33538,0.0096931,0.0096931,0.0096931
64,1356.06,1.20933,0.93219,1.45255,0.85177,0.92458,0.925,0.64593,1.13169,0.62174,1.34737,0.00968815,0.00968815,0.00968815
65,1377.65,1.22323,0.92128,1.45859,0.86278,0.89567,0.92202,0.62533,1.18023,0.6591,1.368,0.0096832,0.0096832,0.0096832
66,1398.52,1.24067,0.91704,1.47647,0.83524,0.87927,0.91064,0.61389,1.18198,0.65605,1.37394,0.00967825,0.00967825,0.00967825
67,1419.7,1.25691,0.99501,1.4773,0.83494,0.89604,0.91068,0.62883,1.1808,0.67784,1.36128,0.0096733,0.0096733,0.0096733
68,1441.21,1.19672,0.925,1.45243,0.83223,0.88659,0.91624,0.58411,1.29536,0.72581,1.44789,0.00966835,0.00966835,0.00966835
69,1461.63,1.18795,0.91682,1.45665,0.87827,0.84498,0.90705,0.595,1.24351,0.70318,1.41614,0.0096634,0.0096634,0.0096634
70,1483.23,1.18691,0.87944,1.43713,0.88287,0.88976,0.94541,0.65165,1.12614,0.6107,1.34069,0.00965845,0.00965845,0.00965845
71,1504.04,1.20415,0.92227,1.45821,0.87992,0.87162,0.94006,0.62988,1.17487,0.62976,1.36138,0.0096535,0.0096535,0.0096535
72,1525.73,1.25467,0.94883,1.49219,0.86559,0.87564,0.92188,0.60273,1.23529,0.64352,1.41612,0.00964855,0.00964855,0.00964855
73,1546.6,1.23187,0.93198,1.46997,0.84744,0.89143,0.9237,0.62931,1.16031,0.68976,1.37887,0.0096436,0.0096436,0.0096436
74,1568.14,1.26777,0.95003,1.5041,0.85767,0.88306,0.9321,0.62988,1.18815,0.6551,1.37947,0.00963865,0.00963865,0.00963865
75,1589.48,1.22671,0.94506,1.46138,0.88714,0.87313,0.92976,0.66281,1.10119,0.62115,1.32641,0.0096337,0.0096337,0.0096337
76,1610.33,1.19769,0.90278,1.43766,0.84724,0.92832,0.91656,0.63925,1.12999,0.6214,1.33783,0.00962875,0.00962875,0.00962875
77,1631.83,1.22479,0.93501,1.47815,0.84777,0.90559,0.92179,0.62912,1.1769,0.66209,1.36875,0.0096238,0.0096238,0.0096238
78,1652.62,1.20259,0.89929,1.43404,0.81334,0.88662,0.91917,0.62965,1.15563,0.68923,1.37448,0.00961885,0.00961885,0.00961885
79,1674.11,1.22781,0.95614,1.47016,0.82193,0.90192,0.91714,0.61585,1.19491,0.68696,1.40364,0.0096139,0.0096139,0.0096139
80,1694.86,1.22939,0.94654,1.48178,0.89888,0.83917,0.93077,0.64479,1.14815,0.64529,1.35226,0.00960895,0.00960895,0.00960895
81,1716.09,1.19737,0.95107,1.43784,0.82521,0.89482,0.91032,0.64841,1.06444,0.67519,1.31363,0.009604,0.009604,0.009604
82,1736.91,1.17785,0.91198,1.4391,0.87418,0.82738,0.90803,0.65051,1.06055,0.6836,1.31225,0.00959905,0.00959905,0.00959905
83,1757.87,1.19322,0.93003,1.43506,0.8863,0.86979,0.92178,0.65065,1.11211,0.61862,1.34019,0.0095941,0.0095941,0.0095941
84,1779.01,1.21434,0.91833,1.45768,0.82551,0.9018,0.92065,0.64373,1.11933,0.6639,1.3538,0.00958915,0.00958915,0.00958915
85,1800.01,1.16996,0.86562,1.42082,0.86328,0.89815,0.92214,0.66192,1.1031,0.64337,1.34489,0.0095842,0.0095842,0.0095842
86,1821.22,1.19521,0.9222,1.43614,0.85381,0.89434,0.92209,0.66031,1.09152,0.65557,1.33489,0.00957925,0.00957925,0.00957925
87,1842.05,1.13398,0.89261,1.40399,0.86912,0.87007,0.91861,0.64681,1.08938,0.66541,1.32861,0.0095743,0.0095743,0.0095743
88,1864.13,1.18857,0.91696,1.45453,0.86789,0.8709,0.9251,0.62132,1.17507,0.66601,1.38273,0.00956935,0.00956935,0.00956935
89,1884.87,1.18553,0.91546,1.45925,0.87914,0.86398,0.92234,0.6198,1.21155,0.67788,1.38618,0.0095644,0.0095644,0.0095644
90,1906.72,1.18797,0.94135,1.44223,0.83796,0.89174,0.92179,0.65149,1.1312,0.6478,1.36568,0.00955945,0.00955945,0.00955945
91,1927.57,1.18527,0.91641,1.43676,0.87741,0.86777,0.9273,0.63828,1.19448,0.66682,1.40327,0.0095545,0.0095545,0.0095545
92,1948.72,1.19244,0.94807,1.45337,0.84348,0.86022,0.91062,0.64426,1.10568,0.71408,1.36809,0.00954955,0.00954955,0.00954955
93,1970.08,1.18377,0.91976,1.43849,0.86326,0.86146,0.92259,0.65745,1.11669,0.66375,1.34865,0.0095446,0.0095446,0.0095446
94,1991.34,1.18358,0.92675,1.44827,0.84225,0.87661,0.91896,0.63656,1.14406,0.68393,1.36829,0.00953965,0.00953965,0.00953965
